sample_id	sex	title	empo_1	empo_2	empo_3	host_age	latitude	taxon_id	age_units	elevation	env_biome	longitude	antibiotic	cfu_counts	host_taxid	description	env_feature	env_package	sample_type	env_material	geo_loc_name	dna_extracted	host_body_site	anonymized_name	host_life_stage	host_subject_id	scientific_name	host_common_name	day_of_experiment	host_body_habitat	host_body_product	average_cfu_counts	date_of_experiment	host_subject_id_02	phase_of_experiment	collection_timestamp	host_scientific_name	level_of_colonisation	route_abx_administration	timeline_sample_pcoa_time	physical_specimen_location	day_of_experiment_numerical	group_level_of_colonisation	physical_specimen_remaining	qiita_study_id
13132.DMG1906345		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	475000	10090	2_11 D2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_11 D2	adult	Mouse_D2	mouse gut metagenome	mouse	p25	UBERON:feces	UBERON:feces	173940	11_02	Mouse_D	colonised	11/7/19	Mus musculus	intermediate	SC	32	MDUPHL_DAMG	32	intermediate	FALSE	13132
13132.DMG1906382		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	0	10090	5_11 A3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	5_11 A3	adult	Mouse_A3	mouse gut metagenome	mouse	p28	UBERON:feces	UBERON:feces	33.33333333	11_05	Mouse_A	carrier	11/7/19	Mus musculus	undetectable	SC	35	MDUPHL_DAMG	35	low	FALSE	13132
13132.DMG1906239		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	53000	10090	27_10 A3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	27_10 A3	adult	Mouse_A3	mouse gut metagenome	mouse	p19	UBERON:feces	UBERON:feces	33320	10_27	Mouse_A	colonised	11/7/19	Mus musculus	intermediate	SC	26	MDUPHL_DAMG	26	intermediate	FALSE	13132
13132.DMG1906311		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	0	10090	31_10 B2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	31_10 B2	adult	Mouse_B2	mouse gut metagenome	mouse	p23	UBERON:feces	UBERON:feces	0	10_31	Mouse_B	carrier	11/7/19	Mus musculus	undetectable	SC	30	MDUPHL_DAMG	30	undetectable	FALSE	13132
13132.DMG1906346		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	23000	10090	2_11 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_11 D3	adult	Mouse_D3	mouse gut metagenome	mouse	p25	UBERON:feces	UBERON:feces	173940	11_02	Mouse_D	colonised	11/7/19	Mus musculus	intermediate	SC	32	MDUPHL_DAMG	32	intermediate	FALSE	13132
13132.DMG1906386		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	1300	10090	5_11 D4	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	5_11 D4	adult	Mouse_D4	mouse gut metagenome	mouse	p28	UBERON:feces	UBERON:feces	1960	11_05	Mouse_D	colonised	11/7/19	Mus musculus	intermediate	SC	35	MDUPHL_DAMG	35	intermediate	FALSE	13132
13132.DMG1906263		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	7050000	10090	28_10 D2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	28_10 D2	adult	Mouse_D2	mouse gut metagenome	mouse	p20	UBERON:feces	UBERON:feces	4916666.667	10_28	Mouse_D	colonised	11/7/19	Mus musculus	intermediate	SC	27	MDUPHL_DAMG	27	intermediate	FALSE	13132
13132.DMG1906324		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	0	10090	1_11 A3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	1_11 A3	adult	Mouse_A3	mouse gut metagenome	mouse	p24	UBERON:feces	UBERON:feces	40	11_01	Mouse_A	carrier	11/7/19	Mus musculus	undetectable	SC	31	MDUPHL_DAMG	31	low	FALSE	13132
13132.DMG1906297		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	157000	10090	30_10 D2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	30_10 D2	adult	Mouse_D2	mouse gut metagenome	mouse	p22	UBERON:feces	UBERON:feces	347444.4444	10_30	Mouse_D	colonised	11/7/19	Mus musculus	intermediate	SC	29	MDUPHL_DAMG	29	intermediate	FALSE	13132
13132.DMG1906331		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	2020000	10090	1_11 D2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	1_11 D2	adult	Mouse_D2	mouse gut metagenome	mouse	p24	UBERON:feces	UBERON:feces	1262444.444	11_01	Mouse_D	colonised	11/7/19	Mus musculus	intermediate	SC	31	MDUPHL_DAMG	31	intermediate	FALSE	13132
