sample_id	sex	title	empo_1	empo_2	empo_3	host_age	latitude	taxon_id	age_units	elevation	env_biome	longitude	antibiotic	cfu_counts	host_taxid	description	env_feature	env_package	sample_type	env_material	geo_loc_name	dna_extracted	host_body_site	anonymized_name	host_life_stage	host_subject_id	scientific_name	host_common_name	day_of_experiment	host_body_habitat	host_body_product	average_cfu_counts	date_of_experiment	host_subject_id_02	phase_of_experiment	host_scientific_name	level_of_colonisation	route_abx_administration	timeline_sample_pcoa_time	physical_specimen_location	day_of_experiment_numerical	group_level_of_colonisation	physical_specimen_remaining	qiita_study_id
13132.DMG1905933		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	78866666667	10090	12_10 E2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	12_10 E2	adult	Mouse_E2	mouse gut metagenome	mouse	p4	UBERON:feces	UBERON:feces	1.04E+11	10_12	Mouse_E	colonised	Mus musculus	high	OG	11	MDUPHL_DAMG	11	high	FALSE	13132
13132.DMG1905934		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	2.23E+11	10090	12_10 E3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	12_10 E3	adult	Mouse_E3	mouse gut metagenome	mouse	p4	UBERON:feces	UBERON:feces	1.04E+11	10_12	Mouse_E	colonised	Mus musculus	high	OG	11	MDUPHL_DAMG	11	high	FALSE	13132
13132.DMG1905938		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	1.93E+11	10090	13_10 A1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	13_10 A1	adult	Mouse_A1	mouse gut metagenome	mouse	p5	UBERON:feces	UBERON:feces	2.67E+11	10_13	Mouse_A	colonised	Mus musculus	high	SC	12	MDUPHL_DAMG	12	high	FALSE	13132
13132.DMG1905939		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	18866666667	10090	13_10 A2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	13_10 A2	adult	Mouse_A2	mouse gut metagenome	mouse	p5	UBERON:feces	UBERON:feces	2.67E+11	10_13	Mouse_A	colonised	Mus musculus	high	SC	12	MDUPHL_DAMG	12	high	FALSE	13132
13132.DMG1905940		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	5.90E+11	10090	13_10 A3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	13_10 A3	adult	Mouse_A3	mouse gut metagenome	mouse	p5	UBERON:feces	UBERON:feces	2.67E+11	10_13	Mouse_A	colonised	Mus musculus	high	SC	12	MDUPHL_DAMG	12	high	FALSE	13132
13132.DMG1905947		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	1.47E+11	10090	13_10 D1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	13_10 D1	adult	Mouse_D1	mouse gut metagenome	mouse	p5	UBERON:feces	UBERON:feces	2.10E+11	10_13	Mouse_D	colonised	Mus musculus	high	SC	12	MDUPHL_DAMG	12	high	FALSE	13132
13132.DMG1905948		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	1.53E+11	10090	13_10 D2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	13_10 D2	adult	Mouse_D2	mouse gut metagenome	mouse	p5	UBERON:feces	UBERON:feces	2.10E+11	10_13	Mouse_D	colonised	Mus musculus	high	SC	12	MDUPHL_DAMG	12	high	FALSE	13132
13132.DMG1905785		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	0	10090	4_10 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	4_10 D3	adult	Mouse_D3	mouse gut metagenome	mouse	m4	UBERON:feces	UBERON:feces	0	10_04	Mouse_D	naive	Mus musculus	0	SC	3	MDUPHL_DAMG	3	0	FALSE	13132
13132.DMG1905786		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	0	10090	4_10 E1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	4_10 E1	adult	Mouse_E1	mouse gut metagenome	mouse	m4	UBERON:feces	UBERON:feces	0	10_04	Mouse_E	naive	Mus musculus	0	OG	3	MDUPHL_DAMG	3	0	FALSE	13132
13132.DMG1905787		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	0	10090	4_10 E2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	4_10 E2	adult	Mouse_E2	mouse gut metagenome	mouse	m4	UBERON:feces	UBERON:feces	0	10_04	Mouse_E	naive	Mus musculus	0	OG	3	MDUPHL_DAMG	3	0	FALSE	13132
