sample_id	sex	title	empo_1	empo_2	empo_3	host_age	latitude	taxon_id	age_units	elevation	env_biome	longitude	antibiotic	cfu_counts	host_taxid	description	env_feature	env_package	sample_type	env_material	geo_loc_name	dna_extracted	host_body_site	anonymized_name	host_life_stage	host_subject_id	scientific_name	host_common_name	day_of_experiment	host_body_habitat	host_body_product	average_cfu_counts	date_of_experiment	host_subject_id_02	phase_of_experiment	host_scientific_name	level_of_colonisation	route_abx_administration	timeline_sample_pcoa_time	physical_specimen_location	day_of_experiment_numerical	group_level_of_colonisation	physical_specimen_remaining	qiita_study_id
13132.DMG1905738		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	0	10090	2_10 A1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 A1	adult	Mouse_A1	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_A	naive	Mus musculus	0	SC	1	MDUPHL_DAMG	1	0	FALSE	13132
13132.DMG1905739		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	0	10090	2_10 A2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 A2	adult	Mouse_A2	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_A	naive	Mus musculus	0	SC	1	MDUPHL_DAMG	1	0	FALSE	13132
13132.DMG1905740		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Augmentin	0	10090	2_10 A3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 A3	adult	Mouse_A3	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_A	naive	Mus musculus	0	SC	1	MDUPHL_DAMG	1	0	FALSE	13132
13132.DMG1905741		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	0	10090	2_10 B1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 B1	adult	Mouse_B1	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_B	naive	Mus musculus	0	SC	1	MDUPHL_DAMG	1	0	FALSE	13132
13132.DMG1905742		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	0	10090	2_10 B2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 B2	adult	Mouse_B2	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_B	naive	Mus musculus	0	SC	1	MDUPHL_DAMG	1	0	FALSE	13132
13132.DMG1905743		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Cefazolin	0	10090	2_10 B3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 B3	adult	Mouse_B3	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_B	naive	Mus musculus	0	SC	1	MDUPHL_DAMG	1	0	FALSE	13132
13132.DMG1905744		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Doxycycline	0	10090	2_10 C1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 C1	adult	Mouse_C1	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_C	naive	Mus musculus	0	OG	1	MDUPHL_DAMG	1	0	FALSE	13132
13132.DMG1905745		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Doxycycline	0	10090	2_10 C2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 C2	adult	Mouse_C2	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_C	naive	Mus musculus	0	OG	1	MDUPHL_DAMG	1	0	FALSE	13132
13132.DMG1905746		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Doxycycline	0	10090	2_10 C3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 C3	adult	Mouse_C3	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_C	naive	Mus musculus	0	OG	1	MDUPHL_DAMG	1	0	FALSE	13132
13132.DMG1905747		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	0	10090	2_10 D1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 D1	adult	Mouse_D1	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_D	naive	Mus musculus	0	SC	1	MDUPHL_DAMG	1	0	FALSE	13132
13132.DMG1905748		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	0	10090	2_10 D2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 D2	adult	Mouse_D2	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_D	naive	Mus musculus	0	SC	1	MDUPHL_DAMG	1	0	FALSE	13132
13132.DMG1905749		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	PipTaz	0	10090	2_10 D3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 D3	adult	Mouse_D3	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_D	naive	Mus musculus	0	SC	1	MDUPHL_DAMG	1	0	FALSE	13132
13132.DMG1905750		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	0	10090	2_10 E1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 E1	adult	Mouse_E1	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_E	naive	Mus musculus	0	OG	1	MDUPHL_DAMG	1	0	FALSE	13132
13132.DMG1905751		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	0	10090	2_10 E2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 E2	adult	Mouse_E2	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_E	naive	Mus musculus	0	OG	1	MDUPHL_DAMG	1	0	FALSE	13132
13132.DMG1905752		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	Vancomycin	0	10090	2_10 E3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 E3	adult	Mouse_E3	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_E	naive	Mus musculus	0	OG	1	MDUPHL_DAMG	1	0	FALSE	13132
13132.DMG1905753		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	2_10 F1	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 F1	adult	Mouse_F1	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_F	naive	Mus musculus	0	Not applicable	1	MDUPHL_DAMG	1	0	FALSE	13132
13132.DMG1905754		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	2_10 F2	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 F2	adult	Mouse_F2	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_F	naive	Mus musculus	0	Not applicable	1	MDUPHL_DAMG	1	0	FALSE	13132
13132.DMG1905755		VRE.03	Host-asssociated	Animal-associated	Animal distal gut		37.81	410661		102	urban biome	144.96	untreated.noninfected.control	0	10090	2_10 F3	animal-associated habitat	host-associated	feces	feces	AUSTRALIA:VIC:Melbourne	TRUE	UBERON:feces	2_10 F3	adult	Mouse_F3	mouse gut metagenome	mouse	m6	UBERON:feces	UBERON:feces	0	10_02	Mouse_F	naive	Mus musculus	0	Not applicable	1	MDUPHL_DAMG	1	0	FALSE	13132
